MeasurementName,DateFrom,DateTo,Reason
Spd80mN,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd80mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd60mN,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd60mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd40mN,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd40mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Dir78mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Dir58mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Dir38mS,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
T2m,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
RH2m,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
P2m,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
PrcpTot,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
BattMin,2016-01-09 15:30:00,2016-01-09 17:10:00,installation
Spd80mN,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd80mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd60mN,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd60mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd40mN,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd40mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Dir78mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Dir58mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Dir38mS,2016-03-09 06:20:00,2016-03-09 10:30:00,icing
Spd80mN,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd80mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd60mN,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd60mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd40mN,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd40mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Dir78mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Dir58mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Dir38mS,2016-03-29 23:50:00,2016-03-30 07:10:00,icing
Spd80mN,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd80mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd60mN,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd60mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd40mN,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd40mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Dir78mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Dir58mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Dir38mS,2016-11-08 02:30:00,2016-11-08 10:50:00,icing
Spd80mN,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd80mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd60mN,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd60mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd40mN,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd40mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Dir78mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Dir58mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Dir38mS,2016-11-18 15:50:00,2016-11-19 10:30:00,icing
Spd80mN,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd80mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd60mN,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd60mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd40mN,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd40mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Dir78mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Dir58mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Dir38mS,2016-11-20 16:40:00,2016-11-21 12:40:00,icing
Spd80mN,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd80mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd60mN,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd60mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd40mN,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd40mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Dir78mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Dir58mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Dir38mS,2017-01-21 00:00:00,2017-01-21 07:10:00,icing
Spd80mN,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd80mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd60mN,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd60mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd40mN,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd40mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Dir78mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Dir58mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Dir38mS,2017-01-28 14:10:00,2017-01-28 17:30:00,icing
Spd80mN,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Spd80mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Spd60mN,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Spd60mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Spd40mN,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Spd40mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Dir78mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Dir58mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Dir38mS,2017-10-30 01:40:00,2017-10-30 07:00:00,icing
Dir58mS,2016-12-26 07:00:00,2018-02-09 21:30:00,invalid
Dir78mS,2017-08-11 02:10:00,2018-02-09 21:30:00,invalid
Spd80mS,2017-09-04 00:30:00,2018-02-09 21:30:00,invalid
